"","name","rank","winner","final","semi_final","quarter_final","round_4","round_3","round_2","round_1"
"1","Djokovic N.",1,100,0,0,0,0,0,0,0
"2","Nadal R.",2,0,0,0,0,0,0,100,0
"3","Thiem D.",3,0,0,0,0,0,0,97.8,2.2
"4","Federer R.",4,0,0,0,0,0,99.5,0,0.5
"5","Medvedev D.",5,0,0,0,0,92.9,0,0,7.1
"6","Tsitsipas S.",6,0,0,0,0,0,0,98.3,1.7
"7","Zverev A.",7,0,0,0,0,0,0,84,16
"8","Berrettini M.",8,0,0,0,0,0,46.8,0,53.2
"9","Monfils G.",9,0,0,0,0,100,0,0,0
"10","Goffin D.",10,0,0,0,0,0,83,0,17
"11","Fognini F.",11,0,0,0,0,0,0,44.9,55.1
"12","Bautista Agut R.",12,0,0,0,0,0,0,98.1,1.9
"13","Schwartzman D.",13,0,0,0,87.6,0,0,0,12.4
"14","Rublev A.",14,0,0,0,0,0,98.8,0,1.2
"15","Khachanov K.",15,0,0,0,0,0,0,85.3,14.7
"16","Shapovalov D.",16,0,0,0,0,0,0,43.1,56.9
"17","Wawrinka S.",17,0,0,0,0,0,0,98.1,1.9
"18","Garin C.",18,0,0,0,0,88.1,0,0,11.9
"19","Dimitrov G.",19,0,0,0,0,0,0,78.5,21.5
"20","Auger-Aliassime F.",20,0,0,0,85.8,0,0,0,14.2
"21","Isner J.",21,0,0,0,0,0,0,68.8,31.2
"22","Paire B.",22,0,0,0,0,0,77.2,0,22.8
"23","Lajovic D.",23,0,0,0,0,0,80.3,0,19.7
"24","Fritz T.",24,0,0,0,0,0,0,75.7,24.3
"25","Carreno Busta P.",25,0,0,0,0,0,67.8,0,32.2
"26","De Minaur A.",26,0,0,50,0,0,0,0,50
"27","Basilashvili N.",27,0,0,0,0,0,0,28.6,71.4
"28","Evans D.",28,0,0,0,0,0,91.4,0,8.6
"29","Hurkacz H.",29,0,0,0,0,0,0,79.2,20.8
"30","Raonic M.",30,0,0,0,0,93,0,0,7
"31","Nishikori K.",31,0,0,0,0,0,0,27.7,72.3
"32","Krajinovic F.",32,0,0,0,0,0,0,89.3,10.7
"33","Coric B.",33,0,1.1,0.5,1.5,3.1,6.2,15.4,72.2
"34","Struff J.L.",34,0,1.6,3,3.7,6.7,13.9,26.5,44.6
"35","Pella G.",35,0,1.6,3,2,3.7,9.7,23.3,56.7
"36","Ruud C.",36,0,1.7,3.7,5.4,10.3,22.1,45.7,11.1
"37","Cilic M.",37,0,2.1,2.5,2.9,7.4,17.8,41.1,26.2
"38","Mannarino A.",38,0,0.7,1.1,1.8,3.1,6.3,16.3,70.7
"39","Opelka R.",39,0,1.9,3.2,4.7,8.9,22.9,43.1,15.3
"40","Kyrgios N.",40,0,1.4,2.5,6,10.5,23.2,42.6,13.8
"41","Ramos A.",41,0,1.4,2.9,3.2,5,11.5,30.5,45.5
"42","Humbert U.",42,0,1.4,3,7,8.7,20.3,41.9,17.7
"43","Millman J.",43,0,1.4,3.1,4.8,8.1,21.3,37.1,24.2
"44","Edmund K.",44,0,1.3,3,5.8,10.3,25.2,42.1,12.3
"45","Querrey S.",45,0,1.8,3,4,7.2,17.7,35.8,30.5
"46","Sonego L.",46,0,0.4,0.5,1.5,1.1,4.1,9.7,82.7
"47","Kecmanovic M.",47,0,1.8,2,3.4,7.9,19.1,32.5,33.3
"48","Nishioka Y.",48,0,2.8,3.4,3.5,6.3,19.8,42.6,21.6
"49","Tsonga J.W.",49,0,0.3,0.1,1,1,1.9,5.1,90.6
"50","Gasquet R.",50,0,1.3,3.1,3.4,6.7,15.9,31.7,37.9
"51","Bublik A.",51,0,1.5,2.7,2.6,6.6,15.6,28,43
"52","Verdasco F.",52,0,1.7,2.5,2.6,5,10.2,25.6,52.4
"53","Andujar P.",53,0,0.7,0.5,0.7,1.5,5.6,9.8,81.2
"54","Simon G.",54,0,1.5,2.3,2.4,6,14.3,32.3,41.2
"55","Sandgren T.",55,0,1.7,3,3,6.8,17.2,31.8,36.5
"56","Lopez F.",56,0,0.5,1.2,2.3,1.4,6,12.2,76.4
"57","Paul T.",57,0,2,2.7,4.1,6.3,19.9,38.4,26.6
"58","Pouille L.",58,0,0.5,0.3,0.8,0.9,2.6,5.4,89.5
"59","Chardy J.",59,0,0.7,0.3,1.5,2.3,5.3,8.6,81.3
"60","Cuevas P.",60,0,0.4,0.3,2.4,2.2,5.4,13.3,76
"61","Bedene A.",61,0,1.1,2.6,2.2,4,11.5,23.8,54.8
"62","Londero J.I.",62,0,1.1,2,2.7,5.9,11.4,26,50.9
"63","Johnson S.",63,0,0.5,1.2,2.2,3.5,6.9,17.2,68.5
"64","Thompson J.",64,0,0.9,0.7,2.9,3.9,9.2,18.9,63.5
"65","Vesely J.",65,0,1.6,2.9,7.7,13.8,20.9,47.6,5.5
"66","Sousa J.",66,0,0,0,0.4,0.4,1.4,1.9,95.9
"67","Albot R.",67,0,0.1,0.3,0.8,0.9,1.8,4.9,91.2
"68","Ymer M.",68,0,0.4,2.2,1.9,3.8,10,21.4,60.3
"69","Gerasimov E.",69,0,1.7,2.3,4,11,22.7,45.8,12.5
"70","Kwon S.W.",70,0,2.2,2.2,3,6.8,12.4,30.6,42.8
"71","Herbert P.H.",71,0,2.3,3.1,2.5,7.2,18.7,34.8,31.4
"72","Berankis R.",72,0,1.8,2.2,2.6,4.3,8.9,23.3,56.9
